DATA CAIXA;HORA ABERT.;CHAVE NF-E;NOTA FISCAL;MODELO;SERIE;VAL. TOTAL PRODUTO;VAL. TOTAL NOTA;TROCO;DESCONTO;BASE ICMS;VAL. ICMS;BASE PIS;VAL. PIS;BASE COFINS;VAL. COFINS;COD. PRODUTO;DESCRIÇÃO DO ITEM;QUANT. ITEM;VALOR ITEM;ALIQ. ICMS;REDUÇÃO ICMS;CST;CFOP;BASE ICMS ITEM;VAL. ICMS ITEM;BASE PIS ITEM;VAL PIS ITEM;BASE COFINS ITEM; VAL. COFINS;COD. PAGTO;ESCR. PAGTO;VALOR PAGTO;OPERADORA;TIPO OPERACAO;NSU TRANSAÇÃO;N. AUTORIZAÇÃO;COD. PAGTO TEF;D..PAGTO TEF;HORA FECH.;HORA LANC.;NUMERO;TOTAL CARTÃO;CODIGO DA EMPRESA; CÓDIGO FUNC. LANC. ITEM;DESCONTO DO ITEM
01/05/2026;14:07:56;'29260545941965000117650050000380441106379177';38044;;5;59,18;59,18;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;5,38;;;;;;;;;;;5302;MASTER CREDITO;29,59;;;;;0;;15:42:27;14:42:42;13;2;3;0;0
01/05/2026;14:07:56;'29260545941965000117650050000380441106379177';38044;;5;;;;;;;;;;;;;;;;;;;;;;;;;5302;MASTER CREDITO;29,59;;;;;0;;;;;;;;
01/05/2026;19:37:05;'29260545941965000117650050000380591010289633';38059;;5;33,99;33,99;0;0;0;0;0;0;0;0;7038;CUPCAKE;1;18,9;;;;;;;;;;;;;;;;;;;;19:46:21;19:37:05;14;1;3;61;0
01/05/2026;19:37:05;'29260545941965000117650050000380591010289633';38059;;5;33,99;33,99;0;0;0;0;0;0;0;0;13;BROWNIE PISTACHE;1;12;;;;;;;;;;;;;;;;;;;;19:46:21;19:42:44;14;1;3;64;0
01/05/2026;19:37:05;'29260545941965000117650050000380591010289633';38059;;5;33,99;33,99;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;3,09;;;;;;;;;;;3;PIX;33,99;;;;;0;;19:46:21;19:42:46;14;1;3;0;0
01/05/2026;16:31:13;'29260545941965000117650050000380491076603909';38049;;5;141,79;141,79;0;0;0;0;0;0;0;0;250;PRATO KIDS PF;1;45;;;;;;;;;;;;;;;;;;;;17:40:08;16:31:15;15;2;3;34;0
01/05/2026;16:31:13;'29260545941965000117650050000380491076603909';38049;;5;141,79;141,79;0;0;0;0;0;0;0;0;1016578638;CUSCUZ COM CARNE SECA  CREM E BANANA;1;35;;;;;;;;;;;;;;;;;;;;17:40:08;16:31:16;15;2;3;34;0
01/05/2026;16:31:13;'29260545941965000117650050000380491076603909';38049;;5;141,79;141,79;0;0;0;0;0;0;0;0;5052;CAFE LATTE;1;13,9;;;;;;;;;;;;;;;;;;;;17:40:08;16:31:17;15;2;3;34;0
01/05/2026;16:31:13;'29260545941965000117650050000380491076603909';38049;;5;141,79;141,79;0;0;0;0;0;0;0;0;1016578618;SHAKE BANOFFEE;1;30;;;;;;;;;;;;;;;;;;;;17:40:08;16:31:18;15;2;3;34;0
01/05/2026;16:31:13;'29260545941965000117650050000380491076603909';38049;;5;141,79;141,79;0;0;0;0;0;0;0;0;9999;EMBALAGEM + SACOLA;1;5;;;;;;;;;;;;;;;;;;;;17:40:08;17:08:41;15;2;3;64;0
01/05/2026;16:31:13;'29260545941965000117650050000380491076603909';38049;;5;141,79;141,79;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;12,89;;;;;;;;;;;17310;TEF-GETNET CREDITO;141,79;VISA            ;VD CRED;10383;415406;0;;17:40:08;17:17:08;15;2;3;0;0
01/05/2026;14:45:50;'29260545941965000117650050000380451757202558';38045;;5;135,19;135,19;0;0;0;0;0;0;0;0;10116;SALADA SIMPLES P;1;54;;;;;;;;;;;;;;;;;;;;16:08:50;14:45:50;17;2;3;61;0
01/05/2026;14:45:50;'29260545941965000117650050000380451757202558';38045;;5;135,19;135,19;0;0;0;0;0;0;0;0;10027;SALMAO ASSADO 80 G;1;19,9;;;;;;;;;;;;;;;;;;;;16:08:50;14:45:51;17;2;3;61;0
01/05/2026;14:45:50;'29260545941965000117650050000380451757202558';38045;;5;135,19;135,19;0;0;0;0;0;0;0;0;1016579152;SUPER SHAKE;1;35;;;;;;;;;;;;;;;;;;;;16:08:50;16:03:16;17;2;3;64;0
01/05/2026;14:45:50;'29260545941965000117650050000380451757202558';38045;;5;135,19;135,19;0;0;0;0;0;0;0;0;5043;SUCO DE LARANJA;1;14;;;;;;;;;;;;;;;;;;;;16:08:50;16:03:22;17;2;3;64;0
01/05/2026;14:45:50;'29260545941965000117650050000380451757202558';38045;;5;135,19;135,19;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;12,29;;;;;;;;;;;4303;ELO DEBITO;135,19;;;;;0;;16:08:50;16:03:29;17;2;3;0;0
01/05/2026;18:28:05;'29260545941965000117650050000380571624566142';38057;;5;33;33;0;0;0;0;0;0;0;0;1016578618;SHAKE BANOFFEE;1;30;;;;;;;;;;;;;;;;;;;;18:53:17;18:28:06;17;1;3;61;0
01/05/2026;18:28:05;'29260545941965000117650050000380571624566142';38057;;5;33;33;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;3;;;;;;;;;;;5301;VISA CREDITO;33;;;;;0;;18:53:17;18:51:35;17;1;3;0;0
01/05/2026;17:24:58;'29260545941965000117650050000380511985894605';38051;;5;129,8;129,8;0;0;0;0;0;0;0;0;162;SUCO DETOX;2;32;;;;;;;;;;;;;;;;;;;;17:56:09;17:24:59;19;1;3;34;0
01/05/2026;17:24:58;'29260545941965000117650050000380511985894605';38051;;5;129,8;129,8;0;0;0;0;0;0;0;0;141;AGUA COM GAS;2;22;;;;;;;;;;;;;;;;;;;;17:56:09;17:25:00;19;1;3;34;0
01/05/2026;17:24:58;'29260545941965000117650050000380511985894605';38051;;5;129,8;129,8;0;0;0;0;0;0;0;0;10120;SALADA PREMIUM P;1;64;;;;;;;;;;;;;;;;;;;;17:56:09;17:47:44;19;1;3;64;0
01/05/2026;17:24:58;'29260545941965000117650050000380511985894605';38051;;5;129,8;129,8;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;11,8;;;;;;;;;;;17310;TEF-GETNET CREDITO;129,8;MASTERCARD      ;VD CRED;10385;383245;0;;17:56:09;17:47:51;19;1;3;0;0
01/05/2026;14:19:54;'29260545941965000117650050000380431848296429';38043;;5;86,9;86,9;0;0;0;0;0;0;0;0;1016579141;ATUM EM CROSTA LEVE;1;79;;;;;;;;;;;;;;;;;;;;15:41:55;14:19:55;19;1;3;61;0
01/05/2026;14:19:54;'29260545941965000117650050000380431848296429';38043;;5;86,9;86,9;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;7,9;;;;;;;;;;;17310;TEF-GETNET CREDITO;86,9;MASTERCARD      ;VD CRED;10379;Z0ZCCG;0;;15:41:55;14:53:15;19;1;3;0;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;5083;QUICHE LOW CARB - SERTANEJO;1;35;;;;;;;;;;;;;;;;;;;;21:03:18;18:55:56;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;5082;QUICHE LOW CARB - FRANGO;1;35;;;;;;;;;;;;;;;;;;;;21:03:18;18:55:57;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;163;SUCO DE LARANJA E MORANGO;1;18;;;;;;;;;;;;;;;;;;;;21:03:18;18:55:58;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;5043;SUCO DE LARANJA;1;14;;;;;;;;;;;;;;;;;;;;21:03:18;18:56:00;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;5046;CAPUCCINO HEALTHY;1;16,9;;;;;;;;;;;;;;;;;;;;21:03:18;18:56:02;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;7030;FATIA DOCE DO DIA;1;28;;;;;;;;;;;;;;;;;;;;21:03:18;19:03:14;22;1;3;64;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;5043;SUCO DE LARANJA;1;14;;;;;;;;;;;;;;;;;;;;21:03:18;19:36:51;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;7038;CUPCAKE;1;18,9;;;;;;;;;;;;;;;;;;;;21:03:18;19:36:52;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;141;AGUA COM GAS;1;11;;;;;;;;;;;;;;;;;;;;21:03:18;19:36:53;22;1;3;61;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;1016579060;COPO TERMICO 110 ML;1;1;;;;;;;;;;;;;;;;;;;;21:03:18;21:02:08;22;1;3;64;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;1016579060;COPO TERMICO 110 ML;1;1;;;;;;;;;;;;;;;;;;;;21:03:18;21:02:09;22;1;3;64;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;212;212;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;19,2;;;;;;;;;;;4301;VISA ELETRO;62;;;;;0;;21:03:18;21:02:50;22;1;3;0;0
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;;;;;;;;;;;;;;;;;;;;;;;;;4301;VISA ELETRO;80;;;;;0;;;;;;;;
01/05/2026;18:55:56;'29260545941965000117650050000380631035253376';38063;;5;;;;;;;;;;;;;;;;;;;;;;;;;5302;MASTER CREDITO;70;;;;;0;;;;;;;;
01/05/2026;18:46:57;'29260545941965000117650050000380601655189753';38060;;5;221,97;221,97;0;0;0;0;0;0;0;0;1016579161;TAPIOCA DE CARNE SECA CREMOSA;3;105;;;;;;;;;;;;;;;;;;;;20:58:41;18:46:57;23;1;3;61;0
01/05/2026;18:46:57;'29260545941965000117650050000380601655189753';38060;;5;221,97;221,97;0;0;0;0;0;0;0;0;5052;CAFE LATTE;3;41,7;;;;;;;;;;;;;;;;;;;;20:58:41;18:46:58;23;1;3;61;0
01/05/2026;18:46:57;'29260545941965000117650050000380601655189753';38060;;5;221,97;221,97;0;0;0;0;0;0;0;0;1016579170;CREPIOCA SERTANEJA;1;38;;;;;;;;;;;;;;;;;;;;20:58:41;18:46:59;23;1;3;61;0
01/05/2026;18:46:57;'29260545941965000117650050000380601655189753';38060;;5;221,97;221,97;0;0;0;0;0;0;0;0;220211;CHAS DIVERSOS;1;8;;;;;;;;;;;;;;;;;;;;20:58:41;18:56:44;23;1;3;61;0
01/05/2026;18:46:57;'29260545941965000117650050000380601655189753';38060;;5;221,97;221,97;0;0;0;0;0;0;0;0;140;AGUA SEM GAS;2;20;;;;;;;;;;;;;;;;;;;;20:58:41;19:54:32;23;1;3;61;0
01/05/2026;18:46:57;'29260545941965000117650050000380601655189753';38060;;5;221,97;221,97;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;9,27;;;;;;;;;;;5302;MASTER CREDITO;149,34;;;;;0;;20:58:41;20:58:16;23;1;3;0;0
01/05/2026;18:46:57;'29260545941965000117650050000380601655189753';38060;;5;;;;;;;;;;;;;;;;;;;;;;;;;5307;ELO CREDITO;72,63;;;;;0;;;;;;;;
01/05/2026;13:39:54;'29260545941965000117650050000380391964641363';38039;;5;33;33;0;0;0;0;0;0;0;0;9999;EMBALAGEM + SACOLA;1;5;;;;;;;;;;;;;;;;;;;;13:40:16;13:39:54;100;1;3;0;0
01/05/2026;13:39:54;'29260545941965000117650050000380391964641363';38039;;5;33;33;0;0;0;0;0;0;0;0;7030;FATIA DOCE DO DIA;1;28;;;;;;;;;;;3;PIX;33;;;;;0;;13:40:16;13:40:01;100;1;3;0;0
01/05/2026;14:41:10;'29260545941965000117650050000380421083329611';38042;;5;47;47;0;0;0;0;0;0;0;0;9999;EMBALAGEM + SACOLA;1;5;;;;;;;;;;;;;;;;;;;;14:41:21;14:41:10;101;1;3;0;0
01/05/2026;14:41:10;'29260545941965000117650050000380421083329611';38042;;5;47;47;0;0;0;0;0;0;0;0;5031;FATIA RED VELVET;1;42;;;;;;;;;;;3;PIX;47;;;;;0;;14:41:21;14:41:17;101;1;3;0;0
01/05/2026;16:31:01;'29260545941965000117650050000380461667074060';38046;;5;63,9;63,9;0;0;0;0;0;0;0;0;7023;COOKIE HEALTHY;1;16,9;;;;;;;;;;;;;;;;;;;;16:32:21;16:31:01;103;1;3;0;0
01/05/2026;16:31:01;'29260545941965000117650050000380461667074060';38046;;5;63,9;63,9;0;0;0;0;0;0;0;0;9999;EMBALAGEM + SACOLA;1;5;;;;;;;;;;;;;;;;;;;;16:32:21;16:31:03;103;1;3;0;0
